LogGDP,LogDebt,LogNationalSavings,LogRatio,GDP,Debt,NationalSavings,Ratio,MemberClass,Year
3763.9379027495784,1368.67519610082,2222.8090067138373,63.967044450688306,4145735252453,1031179105084.8693,685671531929.5177,36.629799999999996,OTHER,1998-01-01
3767.1823243448443,1532.4855018132819,2260.888235053339,71.02254697780641,4401944248013,1312169466928.1016,709353933951.2054,43.0479,OTHER,1999-01-01
3771.9753684743687,2164.785564912996,2264.639230680696,99.20111487463649,4753079888490,1965363866015.0427,872802600336.42,78.42089999999999,OTHER,2000-01-01
3775.3964363734985,2297.32307467815,2261.9161478522087,105.11873507369157,4686140939063,2018994170064.9978,818221074465.9026,87.61910000000002,OTHER,2001-01-01
3784.2716234139107,2432.456701712982,2332.877489712909,111.30900985336146,5001876104933,2260570721753.704,852522340246.1694,90.15119999999999,OTHER,2002-01-01
3805.1651564795297,2480.7068481994625,2406.2014012237764,113.56452927503078,5565636421455,2449929873211.291,990800074920.0167,89.8014,OTHER,2003-01-01
3830.9533428377513,2574.225790844918,2427.892607074689,118.2566062082134,6454536969997,2760714465547.6396,1221629881534.878,89.81790000000004,OTHER,2004-01-01
3853.2305738887653,2620.4708620107117,2474.7062239413326,120.92847661595174,7499002421236,2816481618449.8784,1551170353945.1907,82.07440000000003,OTHER,2005-01-01
3874.778704801794,2627.5429185853195,2473.4745742013056,123.12630909113727,8591767258634,2848106847098.015,1939037477222.1882,69.78279999999997,OTHER,2006-01-01
3900.70262700317,2613.58218160436,2473.754683431791,122.45794370039063,9980140439986,3026535450704.019,2212598997470.8525,60.331300000000006,OTHER,2007-01-01
3974.2921079351677,2649.0664811271763,2442.5518446638685,123.81767885747765,11379915208943,3441800613306.241,2634998314734.378,56.31650000000002,OTHER,2008-01-01
3965.8426514861158,2656.831114186035,2393.475319663207,123.19920945511888,10416756173853,3512851827521.9956,2007248569396.6824,57.95439999999998,OTHER,2009-01-01
3982.2388094524454,2666.318955642395,2470.38029093383,123.30161567854793,12234680707943,3984302583337.186,2526539688832.264,53.29930000000002,OTHER,2010-01-01
3977.600616454428,2679.5873965180995,2499.574027666932,123.36189003060159,13800604263117,4410162491137.705,2977838781105.106,52.842199999999984,OTHER,2011-01-01
123.1559505882306,0,48.483915463673284,0,712205345904,0,67490523008.543106,0,BRIC,1980-01-01
123.4692653184893,0,48.89534793105137,0,748469037348,0,82897997588.87689,0,BRIC,1981-01-01
123.6486351165143,0,48.78522309219889,0,768670986417,0,78650877447.526,0,BRIC,1982-01-01
123.3740802329612,0,48.29561548868965,0,735454122836,0,64331484096.221504,0,BRIC,1983-01-01
123.66213679731962,0,48.45317611400634,0,744936859964,0,69314580827.1307,0,BRIC,1984-01-01
123.8366177370124,0,48.88261016104073,0,759798658058,0,84010899362.742,0,BRIC,1985-01-01
124.35216632541875,0,49.100396354325525,0,820164466165,0,93366578621.8606,0,BRIC,1986-01-01
125.09444837031612,0,49.49153791314271,0,903902587421,0,111751440028.96188,0,BRIC,1987-01-01
125.8607540256136,0,49.825434870530785,0,1055054671467,0,131975005204.0086,0,BRIC,1988-01-01
126.58000367945328,0,50.18192318791726,0,1207372691670,0,160112326312.9433,0,BRIC,1989-01-01
153.88136893312003,0,50.04496181029943,0,1748459940408,0,147364008299.2907,0,BRIC,1990-01-01
154.01305550719752,26.122205446400994,49.81296829317416,1.010329991274172,1708507011894,221171763367.5615,131167913775.3563,0.7635,BRIC,1991-01-01
154.43678884222743,26.13219928660663,49.83329113493331,1.0101061437557992,1717639932963,223393200483.29062,132509603275.80132,0.7679,BRIC,1992-01-01
154.98885544186135,26.110044398119797,49.93098787969343,1.010039978663645,1875884560501,218498371446.4154,139715777449.8747,0.7694,BRIC,1993-01-01
155.50091050825046,26.20852380300387,50.56840465255188,1.0114321475057853,1982423745996,241111134464.9351,194514798394.8308,0.7411,BRIC,1994-01-01
156.42451085100504,26.283310077385625,50.77931232077704,1.0133698209614772,2445056006100,259834331253.61642,214278637372.354,0.7037000000000001,BRIC,1995-01-01
156.8249126943273,26.312003615213932,50.777644160710594,1.0142625184472125,2678580282233,267397891184.86987,214065159599.0398,0.6870999999999999,BRIC,1996-01-01
157.1824737277172,26.378360205350187,50.87508257980589,1.014832854872798,2866740693901,285743446607.1696,223879517009.3726,0.6762,BRIC,1997-01-01
156.68577364597957,26.38768555728603,50.73345084837596,1.0147156918498061,2758466594052,288420567958.86615,208185583020.5768,0.6781999999999999,BRIC,1998-01-01
156.04643746655944,26.485028368629187,50.43971480967009,1.0134023691043315,2506552055910,317908158615.908,184468608757.08942,0.7012,BRIC,1999-01-01
156.59112259875002,53.3392453106908,50.67408968909547,2.027138106267728,2740353371696,769933989325.1084,202322251227.2385,1.3938000000000001,BRIC,2000-01-01
156.7344314430749,53.340346101598605,50.49234411474146,2.022630970043749,2833789241827,765251685676.2009,187299177666.554,1.4808999999999999,BRIC,2001-01-01
156.9633135956779,53.47593919264468,50.60602197358855,2.015770714948496,2982457291742,818886298346.8381,202189788505.9867,1.62,BRIC,2002-01-01
157.64618986826446,53.68174533494873,51.055805684947984,2.017206343999693,3391331593627,911565942293.5348,254516809462.1943,1.5908,BRIC,2003-01-01
158.80338175542985,53.998177417379694,51.69126980226554,2.0192584762895045,4089057707410,1071287167787.0353,349823916061.7014,1.5485000000000002,BRIC,2004-01-01
159.87220645561885,54.38920870391833,52.12005022420432,2.020972629732767,4956792138310,1294849036531.6045,432201561820.96783,1.5093,BRIC,2005-01-01
160.9430300626036,54.64645054557096,52.50919092534869,2.0237037550928694,6018852087131,1470236168942.8901,521118957226.8295,1.4516,BRIC,2006-01-01
162.21074484300829,55.05252285749491,53.0678225205623,2.025774948780429,7592167703056,1801182865369.0903,694207902060.6685,1.4064999999999999,BRIC,2007-01-01
163.15359783963362,55.268989997326685,53.21864979884601,2.027268185752738,9376422513013,2009078309579.9844,726699571839.7397,1.376,BRIC,2008-01-01
162.9686783511583,55.33336143735819,53.16393363380158,2.0252736060144843,9476921396681,2074723278615.8025,728173012106.1011,1.4117000000000002,BRIC,2009-01-01
164.18557786869127,55.72849250514975,53.673729017098054,2.0291917571134617,11512754921384,2538100539994.482,915052714773.2397,1.3319,BRIC,2010-01-01
165.20175362772108,55.97735956063412,53.967424665647854,2.029728715958659,13715542737018,2879734450362.448,1056586181026.3164,1.3194,BRIC,2011-01-01
432.50512302749985,118.66281525471746,367.3596803123915,5.266958816697084,1116621854754,162522106611.7918,246299031993.20728,1.8946999999999998,OTHER,1980-01-01
431.6661077516262,118.80783585848712,364.8984765584507,5.240127959598329,1003807956109,162268127751.9492,207625004631.9576,2.1406,OTHER,1981-01-01
431.82147644801313,119.4137123183339,365.32408193079874,5.210182551583758,986412589208,173463614085.76163,206466955900.4747,2.3840000000000003,OTHER,1982-01-01
431.2060866844263,119.74268008140413,364.80929833736667,5.18071382140366,939163457245,183330604957.0141,197195381404.18088,2.7248,OTHER,1983-01-01
430.82588707234703,120.12789553273093,364.9901542936706,5.16139740297435,917368327261,197475910718.3953,199244316669.06522,2.9410999999999996,OTHER,1984-01-01
431.5543067848844,120.7095138307341,366.4520618883766,5.144379633169786,950069383706,221706862713.88763,212385408901.63028,3.1353,OTHER,1985-01-01
436.0921188622586,122.37661007427506,370.697598047192,5.1317380951557485,1253575979444,316350155828.88837,283429022970.7093,3.3538,OTHER,1986-01-01
438.9361232450236,123.58770000982035,373.01177832746185,5.121255206658499,1510004070787,402811265373.98645,336860630822.6598,3.4704,OTHER,1987-01-01
440.82785427364644,149.2294692001293,375.2551258175382,6.145645169354092,1683800190649,520339826385.17377,392584978471.63525,4.0357,OTHER,1988-01-01
441.5469834492459,149.29934629551232,375.9783765819935,6.153698995319684,1753102528653,536877022840.46045,413910655879.5611,3.9245,OTHER,1989-01-01
607.2906503895524,175.31592838438903,378.2700893292494,7.168376927769725,2221368789391,745937779465.3561,491466631159.2522,4.621900000000001,OTHER,1990-01-01
605.4362475483922,176.1427589341497,375.4220759601821,7.14287184864345,2270987114159,804782604320.9801,467638807315.85944,4.7867,OTHER,1991-01-01
605.9689461349475,177.33273074992164,438.4600858443293,7.117089817317271,2449659877780,929669773373.1244,481257644287.3973,4.9794,OTHER,1992-01-01
605.3809388171945,203.1361016665545,455.6503750827139,8.096493807618838,2221409171174,1088986803249.6162,430635886578.6213,6.2346,OTHER,1993-01-01
607.4285371845475,203.85020174045283,461.2580365250406,8.090851864190128,2379142265004,1179240151633.4,489803011631.23566,6.2776000000000005,OTHER,1994-01-01
611.7123086990558,364.60174488466737,529.3571295439928,15.494920339062626,2828479209931,1824390772559.191,628909126655.3024,8.7992,OTHER,1995-01-01
612.5506134075331,386.1500820087041,529.032316102241,16.625810309472936,2908761079154,1864884463436.8284,634455649855.0214,8.819399999999998,OTHER,1996-01-01
612.1186202337208,409.18083827220374,529.9929917571876,17.66055756906043,2725015544592,1691367870262.4543,619279278630.0177,9.213700000000001,OTHER,1997-01-01
613.6960048323356,435.15150233489567,531.4720450282758,18.689967431550627,2844996171447,1809849036411.941,641635788446.3672,9.663400000000003,OTHER,1998-01-01
613.7609740143722,455.98910292548476,530.7644892481743,19.79423483399599,2876498970867,1782475475554.1616,658054633118.6749,9.664100000000001,OTHER,1999-01-01
612.8660292084312,522.0579752684444,530.7208162800412,22.96328662102554,2709771903172,1573940346453.767,611365186576.9762,10.432600000000003,OTHER,2000-01-01
613.8919426652619,523.0551966473396,531.3378801786442,22.955350876691753,2791509363957,1575198421460.2212,609037963738.325,10.381499999999997,OTHER,2001-01-01
616.7646095040046,548.5188074155374,534.1598108481636,23.995852352178797,3096174812704,1721899998237.011,665643664691.6825,10.5612,OTHER,2002-01-01
622.2607951528089,553.5995323847934,539.2284074013684,23.988676068676554,3855480841661,2107295547018.7827,855444092181.9194,10.527199999999997,OTHER,2003-01-01
626.3238857388027,556.8346720986044,543.1423639838196,24.006755266614082,4497007103070,2397309406784.754,1010541974416.3856,10.3695,OTHER,2004-01-01
628.6085966583456,557.7838270730651,545.0767401959512,24.055400037463528,4830874814297,2489569172628.324,1064180560000.9862,10.080699999999997,OTHER,2005-01-01
631.1496063723022,558.7303007751466,547.1766295828727,24.111082928666427,5247839297430,2561774841013.3457,1178698487335.5132,9.660600000000002,OTHER,2006-01-01
635.91641728479,561.4850454680959,551.382521958971,24.1756763950906,6183891615038,2839743551485.539,1379463331353.5386,9.185300000000002,OTHER,2007-01-01
639.1621784003336,567.0308165099035,553.1188026468013,24.05017121423519,6926667703986,3504994640614.5815,1451515778771.251,9.856300000000001,OTHER,2008-01-01
636.0811521035969,569.1406939659431,548.3943948292446,23.830018399779398,6181452752007,3664884862349.55,1142823886402.8909,11.682,OTHER,2009-01-01
635.9022512837549,571.1843903324501,548.9638540175795,23.73639103730478,6139545511755,3926466198894.1484,1181154820344.5789,12.8678,OTHER,2010-01-01
638.1401443834933,574.4102020358188,551.3119181972118,23.690013190794563,6652490080752,4515073682170.009,1325229198995.7974,13.784100000000002,OTHER,2011-01-01
50.92684011951762,0,47.9384250101039,0,248980319971,0,55178799848.0253,0,OTHER,1980-01-01
51.112870195775116,0,47.95394700228246,0,280087036649,0,58023178530.153305,0,OTHER,1981-01-01
51.08903309392616,0,47.775177134782616,0,272211751557,0,51572550434.2209,0,OTHER,1982-01-01
51.17133873557255,0,47.73477693966937,0,279435016037,0,49148710733.7056,0,OTHER,1983-01-01
51.29852822223997,0,47.99396432624478,0,298563695305,0,58374797247.8815,0,OTHER,1984-01-01
51.12787593979937,0,47.78350491685296,0,269839493260,0,50244506005.514404,0,OTHER,1985-01-01
51.36034600877309,0,47.917175657973445,0,296739973412,0,52844619175.60559,0,OTHER,1986-01-01
51.56228034631611,0,48.142740770406085,0,336080557191,0,63453880780.0585,0,OTHER,1987-01-01
51.951363223944426,0,48.85019043153244,0,414472548887,0,96447687257.0328,0,OTHER,1988-01-01
51.55388892245469,24.72378876994464,48.412442778893656,1.0715039133213602,396645716417,54626708673.91591,94996199603.52051,0.17070000000000002,OTHER,1989-01-01
52.179792793659814,24.699204084725352,48.953041034888585,1.0731222450627804,465760380306,53300102155.2586,98873111596.69081,0.1643,OTHER,1990-01-01
52.4902511302393,24.98901630036113,48.86776372841226,1.0613260183145274,519423720235,71218346687.136,88466169744.0983,0.216,OTHER,1991-01-01
52.66708136885671,25.226239476072625,49.04916165068306,1.0509319430431923,555071351534,90285208148.5488,94869239994.233,0.2767,OTHER,1992-01-01
52.67510002691202,25.302598805373055,49.26828791209525,1.046722920504647,554593361290,97449370716.03299,104370345714.4115,0.3066,OTHER,1993-01-01
52.892573252862505,25.46993610308954,49.50909397444393,1.0450567471486756,620644696352,115200059659.9458,119016728619.5881,0.3174,OTHER,1994-01-01
52.97279750479292,25.529521396319907,49.66921092719571,1.0456991340131592,650751901272,122272915589.4924,126664516586.98921,0.3114,OTHER,1995-01-01
53.13056539196532,25.57302667809508,49.711520995549655,1.0480030262126372,708111453766,127709843254.01402,134051442913.37701,0.29300000000000004,OTHER,1996-01-01
53.20757243838178,50.810263833460155,49.7671424234953,2.0943404716082603,730406115966,216204298386.2103,136799072351.7879,0.6101,OTHER,1997-01-01
53.11459392404628,50.714568864862144,49.68486866455735,2.094726575596826,689544533747,206965699689.45404,128905450398.5686,0.6194000000000001,OTHER,1998-01-01
53.15142389136689,50.828906054611885,49.58812631605428,2.091514032074716,710799276117,219641943420.0188,126879160260.9194,0.6603,OTHER,1999-01-01
53.112478751928535,50.694436341697184,49.53695084000324,2.0957242282259942,694181297381,209759456068.7297,125004282652.77359,0.6515,OTHER,2000-01-01
53.007961850240264,50.62095852424153,49.41030130900916,2.0950136902712986,659299422396,211073515604.05682,117804804236.7681,0.7076,OTHER,2001-01-01
52.1475925363664,50.75650639297338,49.02342330008708,2.0565836615842614,537186463357,233978539882.95325,112914483700.59091,1.8007000000000002,OTHER,2002-01-01
52.63426314659147,50.94411586681565,49.550701124909885,2.068000866811075,687011394191,254467427361.3335,146849310439.9264,1.5268000000000002,OTHER,2003-01-01
52.995862880871115,51.11234930750018,49.882551750814756,2.0753056952237556,830384302138,275587727801.1076,176160987245.5137,1.39,OTHER,2004-01-01
53.29000853056645,50.93755060753173,50.35707921042331,2.0934291918512162,942893125760,242559355580.74805,212756114732.3816,0.9804000000000002,OTHER,2005-01-01
53.517646828119084,50.9473971688421,50.68604837941717,2.1020078461217224,1029840680947,245424713841.4071,237365372112.8678,0.8645,OTHER,2006-01-01
53.90821960008153,51.17707051198337,51.09687691014586,2.1076509724604415,1246448942511,271624519053.98193,291598594782.3681,0.768,OTHER,2007-01-01
54.19786137452797,51.523970396901206,51.41836436492529,2.104330121693165,1378829572221,316024377088.83026,341766749935.17303,0.703,OTHER,2008-01-01
54.095476732420586,51.78192674407683,51.175555950635065,2.089417281663473,1317468179314,351201072970.18555,304967001749.3313,0.7555000000000001,OTHER,2009-01-01
54.51797666869503,52.22452335380946,51.60071910491736,2.0875984123802045,1653615043441,445439289064.18823,390785577060.13385,0.6970000000000001,OTHER,2010-01-01
54.875173187924275,52.656513715867916,51.99264066279385,2.0840124282229837,1963632874795,568148648937.8099,478463991583.3835,0.6914,OTHER,2011-01-01
191.36598578324913,132.28576011192925,180.93079863384034,5.1776517069143075,6737332945444,2236066425129.2144,1503134754412.6284,2.0537,G8,1980-01-01
191.2357319896602,132.64818854127324,180.56688442293645,5.169039237714981,6917755914520,2477059828099.033,1547622935380.152,2.1481,G8,1981-01-01
191.0874670911179,132.93875853123092,180.0545751681155,5.153515302525005,6883111854255,2695301315193.4834,1449888256622.0789,2.3097000000000003,G8,1982-01-01
191.2707754637961,133.37815904763463,180.10332139286325,5.142523563617633,7249588945253,3074568744696.926,1452727394551.2405,2.4555000000000002,G8,1983-01-01
191.29173477227167,133.679648078633,180.37393895258464,5.134397452647542,7628333775948,3415715008810.6855,1629544605650.7744,2.549,G8,1984-01-01
191.59316735726537,134.1481415849426,180.59217309504064,5.126202972275294,8079448133490,3873798706603.253,1673613650219.17,2.6589000000000005,G8,1985-01-01
193.32209335881413,135.35927376882623,182.25980905508013,5.118175785183712,9806386828945,4814734484827.154,2045406832319.6748,2.7733000000000003,G8,1986-01-01
194.54920161040647,136.24129047828325,183.5037044325877,5.113697459033702,11260540109684,5582360156256.029,2392604960047.934,2.8247,G8,1987-01-01
195.44291519176434,164.24151391469212,184.73932015523866,6.120575575898918,12645680875333,7064158690107.869,2863894879615.7363,3.6708999999999996,G8,1988-01-01
195.67932806171524,164.38035591823544,184.94772986844927,6.124269098589522,13131522633311,7294793229071.215,2938681363518.564,3.638,G8,1989-01-01
196.65994633453386,165.1260599728678,185.6398291995016,6.123828394006777,14551399659238,8035636490488.395,3145962321635.2236,3.6797000000000004,G8,1990-01-01
196.99824875978703,192.87096462254573,185.58998899534586,7.1517455600025555,15388989296879,9570996341233.746,3291084522685.8545,4.2135,G8,1991-01-01
197.42980535552095,193.77300510749848,185.6504647731239,7.133872042337017,16524983532434,10816757533184.574,3407221369679.8105,4.5112000000000005,G8,1992-01-01
197.18173016436612,194.1672372286592,185.26925442786626,7.110084269233712,16904590465030,11809038899012.541,3435555859592.9595,4.903999999999999,G8,1993-01-01
197.568698639254,194.92677926809105,186.03727294762086,7.095967350082203,18080952999125,13067563643065.209,3756874381251.1533,5.138999999999999,G8,1994-01-01
198.20786481385647,196.02233612229364,186.94746031933732,7.078802648237175,19667365988732,14872111268335.318,4195225897195.214,5.4167000000000005,G8,1995-01-01
198.30836236519093,196.3284743679596,187.07661733935743,7.071335981388819,19599789788820,15197874217476.852,4135592271859.643,5.5556,G8,1996-01-01
198.16006209629313,196.19835961762627,187.17039908755578,7.070695609862863,19386117626418,15003145949093.512,4181647656201.1875,5.5522,G8,1997-01-01
198.2119909383452,196.2305435117384,187.2811821118309,7.071508974215711,19605923956879,15127595919029.5,4195949765106.73,5.584099999999999,G8,1998-01-01
198.45229675220307,196.41442693612618,187.36208191170607,7.073805948294568,20694224838496,16292164955964.926,4292741863603.654,5.6083,G8,1999-01-01
198.3471640550029,196.0121525838002,187.26839069131196,7.084908187974877,21147292199409,16352791875200.299,4382456878493.9854,5.4411000000000005,G8,2000-01-01
198.25721533971577,195.91027421569783,186.9955674086368,7.085687859491326,20920183025943,16230032510700.035,4065442442431.2256,5.5307,G8,2001-01-01
198.59380693120468,196.35563112932948,187.06173928367932,7.081715856044393,21591241426960,17134002911284.977,3903842689711.9814,5.6408,G8,2002-01-01
199.6405004856082,197.58709521795004,187.98694346291583,7.0746832137435325,23844205565360,19645697404718.695,4236658788472.8896,5.7674,G8,2003-01-01
200.4772793887693,198.6503121867264,189.1542321270745,7.066516603377654,26160250170057,23009415884569.008,4881290375899.137,5.9656,G8,2004-01-01
200.78138731690618,199.07957342492205,189.48257386737305,7.061890663961586,27254851440850,24025367146483.19,5109843376678.209,6.083200000000001,G8,2005-01-01
201.1274526910879,199.37171272446665,190.05604798533724,7.063543452203094,28434266153879,24331635649722.867,5559246997620.979,6.0396,G8,2006-01-01
201.8219443533716,199.95518176801875,190.9099473707059,7.067133020546791,30601125013725,25555175681785.508,5915310538406.336,5.930599999999999,G8,2007-01-01
202.19645180445372,200.85843833104627,190.93044379763276,7.04838794117518,31982893405525,29378339401411.516,5879158060808.279,6.3232,G8,2008-01-01
201.64110416519182,201.32999879693295,189.16807369126582,7.012439910229452,30484345957238,32634379506420.47,4757912928387.994,7.2109000000000005,G8,2009-01-01
201.92119139446058,202.0065144089981,189.6658642176764,6.998649105979027,31679683215177,36352179948740.195,5209551836298.51,7.5725,G8,2010-01-01
202.42368017426082,202.74156309535664,190.22187556362854,6.990688899405245,33603225688583,40308083442749.29,5512846872647.517,7.864300000000001,G8,2011-01-01
