ISO,Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,Estimates Start After
AGO,Angola,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,110.224,107.6,74.804,67.443,54.09,44.802,21.614,21.402,31.617,36.45,37.628,31.475,27.965,29.236,2009
AGO,Angola,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",1.395,-3.91,-10.561,-7.363,-3.302,-1.591,-10.077,1.131,-9.207,-1.651,0.013,-1.199,-8.206,-9.529,-6.479,-12.06,-4.827,-12.486,-31.275,-29.842,9.434,-17.327,-1.431,-5.592,3.76,18.196,25.627,19.944,10.326,-9.868,9.024,9.611,8.541,6.593,2009
ATG,Antigua and Barbuda,Gross national savings,Percent of GDP,,"Source: Central Bank Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2006. Nominal and real GDP are not measured in the same way and as a result, the GDP deflator is not equal to 100. Chain-weighted: No Primary domestic currency: Eastern Caribbean dollars Data last updated: 09/2012",28.795,34.704,32.641,16.919,19.54,23.012,29.542,37.906,32.97,34.136,19.441,24.396,26.81,29.035,26.354,30.242,22.383,22.739,26.552,27.286,32.069,37.289,35.221,34.549,32.092,29.552,26.517,11.718,2.371,10.067,16.194,18.209,18.585,17.617,2010
ATG,Antigua and Barbuda,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,84.537,99.686,96.99,108.029,112.777,127.533,126.132,122.067,94.554,90.369,78.802,76.858,102.034,90.621,93.378,97.757,92.781,2011
ATG,Antigua and Barbuda,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-14.136,-25.134,-24.957,-4.914,-0.239,-11.808,-45.054,-22.702,-22.003,-18.395,-6.549,-6.23,-1.922,2.735,-1.049,-0.087,-9.093,-6.762,-6.243,-7.672,-8.477,-7.31,-10.218,-11.488,-13.068,-18.79,-27.8,-30.867,-27.231,-19.283,-13.109,-10.737,-11.36,-12.33,2010
ARG,Argentina,Gross national savings,Percent of GDP,,"Source: Haver Analytics Latest actual data: 2010 Notes: Figures are based on Argentina?s official GDP data. The IMF has called on Argentina to adopt remedial measures to address the quality of these data. The IM staff is also using alternative measures of GDP growth for macroeconomic surveillance, including data produced by private analysts, which have shown significantly lower real GDP growth than the official data since 2008. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 1993 Chain-weighted: No Primary domestic currency: Argentine pesos Data last updated: 09/2012",23.196,20.365,19.391,18.961,18.229,19.275,18.129,16.248,17.404,16.849,17.297,14.41,13.874,15.65,15.646,17.98,15.573,15.188,15.112,13.804,13.057,12.837,20.888,21.441,20.877,23.952,26.657,26.714,25.163,23.369,22.595,22.455,21.484,21.742,2010
ARG,Argentina,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,35.08,38.181,43.492,45.621,53.621,164.991,139.447,127.033,87.12,76.444,67.09,58.512,58.701,49.178,44.939,45.215,42.799,2010
ARG,Argentina,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-1.231,-3.37,-3.46,-2.342,-2.137,-1.079,-2.696,-3.895,-1.234,1.34,3.3,-0.226,-2.827,-3.401,-4.267,-1.977,-2.482,-4.139,-4.84,-4.198,-3.149,-1.406,9.002,6.384,1.75,2.591,3.372,2.587,1.846,2.467,0.658,-0.067,0.266,-0.073,2009
ARM,Armenia,Gross national savings,Percent of GDP,,Source: National Statistical Office Latest actual data: 2011 GDP valuation: Market prices Base year: 2005 Chain-weighted: No Primary domestic currency: Armenian drams Data last updated: 08/2012,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,3.836,2.894,4.559,0.592,4.136,3.67,6.38,11.931,17.602,22.37,27.322,31.716,31.76,31.961,18.017,16.66,19.828,20.883,22.092,2011
ARM,Armenia,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,32.204,36.644,35.583,38.987,39.362,37.824,38.105,32.88,26.432,20.467,16.183,14.249,14.631,34.136,33.342,35.127,34.191,31.262,2011
ARM,Armenia,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-46.28,-5.993,3.804,-16.972,-18.202,-18.706,-22.094,-16.633,-14.562,-9.464,-6.228,-6.789,-0.549,-1.05,-1.835,-6.401,-11.849,-15.805,-14.653,-10.927,-9.841,-9.338,2011
AUS,Australia,Gross national savings,Percent of GDP,,"Source: National Statistical Office. Australian Bureau of Statistics (via Time Series Plus & dXdata) Latest actual data: 2011 GDP valuation: Market prices. Data refer to calendar years Start/end months of reporting year: January/December Base year: 2009/10 Chain-weighted: Yes, from 1980. From 1980. Primary domestic currency: Australian dollars Data last updated: 09/2012",21.71,20.849,18.76,16.967,20.136,18.303,17.63,20.136,25.857,25.647,22.944,18.541,19.35,21.179,21.683,20.439,21.034,21.1,21.439,20.538,21.437,21.328,21.054,21.364,21.293,22.225,22.097,22.507,24.668,23.078,23.925,24.934,24.334,23.474,2011
AUS,Australia,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,17.066,16.425,21.602,27.669,30.662,31.744,31.139,29.303,25.934,23.76,22.536,19.534,17.141,15.081,13.23,11.969,10.923,10.007,9.708,11.785,16.85,20.524,24.196,27.07,27.212,2011
AUS,Australia,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-2.774,-4.442,-4.489,-3.504,-4.503,-5.229,-5.434,-3.71,-3.793,-5.989,-4.816,-3.254,-3.237,-2.974,-4.441,-4.901,-3.364,-2.814,-4.642,-5.226,-3.84,-2.011,-3.65,-5.287,-6.07,-5.72,-5.33,-6.191,-4.396,-4.176,-2.87,-2.254,-4.083,-5.503,2011
AUT,Austria,Gross national savings,Percent of GDP,,"Source: National Statistical Office Latest actual data: 2011 National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2005 Chain-weighted: Yes, from 1988 Primary domestic currency: Euros Data last updated: 09/2012",26.183,24.849,23.889,22.202,23.25,23.232,23.331,23.543,24.077,25.269,25.994,25.521,24.474,23.161,23.088,22.461,22.046,22.582,23.228,23.207,23.795,23.109,24.803,24.8,24.958,24.876,25.127,26.643,27.663,23.761,24.611,25.153,24.838,24.716,2011
AUT,Austria,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,57.648,56.609,56.207,56.411,56.304,60.927,64.035,68.199,68.135,64.116,64.426,66.818,66.193,66.813,66.213,65.272,64.706,64.193,62.306,60.223,63.83,69.19,71.838,72.295,74.336,74.94,2011
AUT,Austria,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-5.156,-3.811,0.824,0.168,-0.356,-0.221,-0.032,--,-0.183,0.188,0.706,0.035,-0.353,-0.76,-1.625,-2.898,-2.879,-2.469,-1.64,-1.669,-0.734,-0.819,2.663,1.678,2.195,2.165,2.802,3.51,4.866,2.711,3.009,1.947,1.869,1.629,2011
AZE,Azerbaijan,Gross national savings,Percent of GDP,,"Source: National Statistical Office Latest actual data: 2011 Notes: Data prior to 1994 cannot be confirmed by national sources at this time. National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2003 Chain-weighted: Yes, from 1994 Primary domestic currency: Azerbaijan manat Data last updated: 09/2012",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-11.204,10.587,-3.724,9.856,2.142,11.124,2.783,10.315,16.416,20.313,19.651,23.421,28.158,42.788,47.491,48.781,55.302,41.357,46.955,47.641,39.78,34.943,2011
AZE,Azerbaijan,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,22.837,24.204,22.853,21.687,20.169,13.334,10.241,8.608,7.297,11.792,11.148,9.991,11.412,11.213,2011
AZE,Azerbaijan,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-16.598,-12.199,-5.461,-13.165,-25.894,-23.11,-31.883,-13.09,-3.539,-0.907,-12.321,-27.775,-29.824,1.263,17.632,27.256,35.477,22.981,28.423,26.453,20.351,16.063,2011
BHS,The Bahamas,Gross national savings,Percent of GDP,,Source: National Statistical Office Latest actual data: 2011 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2006 Chain-weighted: No Primary domestic currency: Bahamian dollars Data last updated: 08/2012,18.406,15.021,16.255,17.625,17.383,17.819,18.354,13.644,13.369,18.383,20.247,16.348,18.143,17.236,16.56,15.21,13.468,14.046,10.989,22.361,17.909,15.772,15.844,17.521,18.782,16.832,12.62,16.702,16.121,15.349,14.175,13.425,16.963,18.739,2011
BHS,The Bahamas,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,23.184,26.004,29.252,31.151,30.993,30.741,30.196,27.277,25.895,24.438,24.178,25.216,26.861,28.704,29.239,29.449,30.825,32.613,38.13,45.458,49.506,52.637,55.169,2011
BHS,The Bahamas,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-0.803,-4.188,-2.954,-1.583,-1.826,-1.389,-1.049,-1.611,-1.881,-2.399,-1.177,-1.729,2.212,3.098,-0.809,-3.637,-6.315,-13.411,-18.607,-4.016,-9.992,-9.114,-6.08,-4.612,-2.406,-8.447,-17.713,-11.473,-10.57,-10.479,-10.465,-13.998,-15.981,-16.847,2011
BHR,Bahrain,Gross national savings,Percent of GDP,,Source: Ministry of Finance Latest actual data: 2011 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2001 Chain-weighted: No Primary domestic currency: Bahrain dinars Data last updated: 09/2012,36.857,43.271,46.59,35.692,44.578,30.682,7.015,17.427,14.818,17.589,18.66,15.524,12.009,11.775,15.02,18.68,18.666,16.985,8.848,7.32,20.067,15.507,19.589,22.937,29.068,35.449,38.194,42.733,44.107,30.159,34.544,37.173,36.462,36.805,2011
BHR,Bahrain,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,8.271,7.893,7.703,7.136,6.751,16.474,15.817,17.724,23.582,29.463,29.283,30.06,32.064,36.873,34.408,28.706,23.645,19.227,14.582,25.4,35.57,36.797,35.967,37.071,2010
BHR,Bahrain,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",16.778,24.893,21.532,10.067,2.423,-2.239,-2.411,-6.486,5.001,-4.675,1.542,-13.049,-17.398,-6.499,-4.58,4.06,4.268,-0.489,-12.589,-0.338,10.619,2.836,-0.655,2.016,4.223,10.968,13.808,15.74,10.189,2.903,3.578,12.554,9.903,10.513,2011
BGD,Bangladesh,Gross national savings,Percent of GDP,,"Source: Bangladesh Bureau of Statistics Latest actual data: 2011 GDP valuation: Market prices Start/end months of reporting year: January/December. Authorities report July/June, we report Jan/Dec. Base year: 1996. Base year equals fiscal year 1996, which runs from July 1995 to June 1996. Chain-weighted: No Primary domestic currency: Bangladesh taka Data last updated: 08/2012",9.686,17.828,17.57,16.696,16.46,16.815,16.489,16.256,16.767,17.365,18.678,19.473,18.615,18.392,19.979,20.584,20.904,21.68,22.054,22.719,22.74,22.942,24.189,25.171,25.654,26.81,28.198,29.494,29.874,29.808,29.356,29.113,27.307,26.184,2011
BGD,Bangladesh,General government gross debt,Percent of GDP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,Bangladesh,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-1.275,-3.619,-3.8,-2.2,-3,-3.5,-2.6,-2,-4.4,-4.3,-3.1,-1.1,-0.4,-0.4,-0.9,-2.3,-2.4,-1.534,-1.05,-0.875,-1.44,-0.912,0.336,0.323,-0.322,0.012,1.172,0.834,1.389,2.803,1.646,0.023,-0.333,-0.275,2011
BRB,Barbados,Gross national savings,Percent of GDP,,"Source: Central Bank Latest actual data: 2011 National accounts manual used: SNA 1993 GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2000. GDP in current prices uses 2000 as base year, but GDP in constant price uses 1974 as base year. Chain-weighted: No Primary domestic currency: Barbados dollars Data last updated: 09/2012",18.248,12.174,15.75,12.838,14.709,13.517,12.646,10.524,15.109,16.216,14.226,12.082,15.101,13.589,17.391,13.83,14.829,13.24,16.475,14.343,13.2,11.805,11.971,12.841,9.177,11.468,15.034,18.102,7.69,9.439,5.919,6.107,8.342,11.345,2011
BRB,Barbados,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,44.212,44.357,42.908,39.655,34.781,34.492,40.158,46.621,48.064,47.577,47.837,46.283,45.944,53.162,56.131,63.926,72.622,75.928,70.392,68.059,2011
BRB,Barbados,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-2.686,-11.314,-3.572,-4.174,0.831,0.333,-1.033,-3.143,0.13,-0.132,-1.865,-1.168,7.465,3.346,6.48,2.529,3.633,-1.43,-2.974,-4.553,-3.671,-3.737,-5.252,-3.729,-7.63,-7.507,-4.848,-2.703,-9.593,-5.608,-8.242,-8.699,-7.911,-7.075,2011
BLR,Belarus,Gross national savings,Percent of GDP,,"Source: National Statistical Office. Formally, the National Statistical Committee of the Republic of Belarus Latest actual data: 2010. For quarterly data, latest actual is 2012Q1. Headline real GDP as of 2012Q2. National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2009 Chain-weighted: Yes, from 2005 Primary domestic currency: Belarusian rubels Data last updated: 09/2012",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,33.489,60.528,44.319,22.414,17.481,19.039,19.257,24.732,23.55,21.129,20.94,22.862,24.273,27.957,29.571,29.22,31.031,26.414,27.355,24.936,28.895,27.58,2010
BLR,Belarus,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,9.715,8.391,13.402,18.347,21.726,34.872,42.039,49.782,38.327,36.102,2011
BLR,Belarus,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,5.39,-11.88,-9.144,-13.544,-3.558,-6.095,-6.678,-1.596,-3.248,-3.244,-2.287,-2.391,-5.253,1.442,-3.919,-6.714,-8.211,-12.554,-14.99,-10.473,-3.566,-5.802,2010
BEL,Belgium,Gross national savings,Percent of GDP,,"Source: Central Bank. Data before 1995 were spliced with older series. Data from 1995 reflect current official series. Latest actual data: 2011 National accounts manual used: ESA 1995 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2010 Chain-weighted: Yes, from 1995. Data before 1995 are spliced with older series. Primary domestic currency: Euros Data last updated: 09/2012",19.521,17.14,16.333,16.046,17.239,17.318,18.42,19.364,21.833,23.101,23.271,22.375,22.689,24.02,25.221,26.088,25.558,26.521,26.385,29.291,26.601,24.547,23.633,22.779,24.077,23.907,24.31,24.594,22.362,18.253,21.971,20.769,21.031,21.297,2011
BEL,Belgium,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,74.332,86.44,96.034,106.221,110.737,115.177,120.241,124.536,125.151,121.804,125.649,127.138,130.18,133.911,132.058,130.18,127.151,122.511,117.23,113.571,107.778,106.483,103.386,98.363,94.024,91.952,87.951,84.006,89.267,95.718,95.557,97.809,99.033,99.433,2011
BEL,Belgium,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-3.936,-4.029,-2.852,-0.575,-0.066,0.786,2.58,1.896,2.24,2.219,1.788,2.282,2.867,5.062,5.196,5.404,5.015,5.535,5.179,7.876,4.025,3.393,4.474,3.419,3.181,1.975,1.86,1.616,-1.642,-1.559,1.405,-0.995,-0.131,0.345,2011
BLZ,Belize,Gross national savings,Percent of GDP,,Source: National Statistical Office Latest actual data: 2011 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: Belize dollars Data last updated: 09/2012,24.765,25.389,11.046,13.652,20.27,34.514,26.242,29.623,26.866,25.306,25.667,22.108,22.343,21.764,15.04,15.728,12.045,10.825,9.225,8.962,13.074,5.653,4.547,3.274,4.24,8.049,15.595,13.131,15.79,16.092,15.142,16.447,16.651,15.131,2011
BLZ,Belize,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,83.81,88.987,102.283,102.289,101.392,92.546,87.621,79.433,82.529,84.569,82.559,81.003,79.611,2011
BLZ,Belize,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-2.148,-2.62,-9.707,-6.561,-1.849,1.243,2.984,6.866,-1.397,-5.012,-1.578,-6.702,-5.559,-8.345,-3.873,-1.588,-1.06,-3.469,-6.015,-9.94,-19.418,-21.835,-17.725,-18.649,-14.667,-13.564,-2.092,-4.064,-10.625,-5.908,-2.858,-2.553,-2.349,-4.369,2011
BEN,Benin,Gross national savings,Percent of GDP,,Source: National Statistical Office Latest actual data: 2010 National accounts manual used: SNA 1993 GDP valuation: Market prices Start/end months of reporting year: January/December Base year: 2000 Chain-weighted: No Primary domestic currency: CFA francs Data last updated: 08/2012,27.562,17.954,2.715,0.912,7.991,4.512,6.318,6.377,7.255,9.483,13.01,13.205,9.791,12.048,15.292,16.087,13.476,12.877,13.519,11.912,15.114,15.921,9.276,10.225,12.309,10.121,11.813,9.906,10.288,11.929,10.303,8.723,9.812,10.097,2010
BEN,Benin,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,60.388,60.006,47.796,37.211,35.095,43.18,14.682,21.051,26.893,27.288,30.029,29.6,28.219,27.603,2010
BEN,Benin,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",-6.385,-23.128,-28.532,-15.929,-5.003,-4.164,-6.36,-5.792,-7.406,-1.641,-2.034,-2.638,-4.335,-4.186,-2.477,-6.086,-3.92,-7.012,-5.427,-7.252,-4.405,-4.379,-7.93,-9.364,-6.982,-6.303,-5.337,-10.171,-8.082,-8.932,-7.297,-9.976,-9.274,-9.085,2010
BTN,Bhutan,Gross national savings,Percent of GDP,,"Source: National Statistical Office Latest actual data: Fiscal year 2006/07. Data for 2007/08 is an advanced estimate. Notes: Fiscal year data converted to calendar year by staff. GDP valuation: Factor costs Start/end months of reporting year: January/December Base year: 2000. Nominal and real GDP are not measured in the same way and as a result, the GDP deflator is not equal to 100. Chain-weighted: No Primary domestic currency: Bhutanese ngultrum Data last updated: 08/2012",7.943,7.047,9.273,8.43,7.433,13.555,8.937,16.964,17.476,23,29.107,23.689,18.155,30.865,42.249,40.918,33.64,22.899,19.719,21.52,25.385,38.459,38.414,38.001,36.368,29.62,40.507,34.588,28.698,24.726,33.683,29.178,29.056,29.639,0
BTN,Bhutan,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,62.373,55.104,40.142,38.171,34.164,37.71,40.64,45.613,54.235,60.141,73.304,80.654,84.858,84.871,74.559,66.16,67.706,54.403,71.591,77.204,86.204,2009
BTN,Bhutan,Current account balance,Percent of GDP,,"See notes for:  Gross domestic product, current prices (National currency) Current account balance (U.S. dollars).",10.492,3.25,-46.68,-46.527,-54.473,-44.306,-45.173,-32.195,-19.9,-25.34,-9.185,-9.75,-27.614,-16.758,-12.415,16.148,5.835,11.815,2.454,-9.725,-9.377,-17.465,-24.561,-19.009,-32.557,-4.755,14.763,-2.472,-2.34,-10.616,-22.897,-25.447,-31.416,-28.734,0
BOL,Bolivia,Gross national savings,Percent of GDP,,Source: National Statistical Office Latest actual data: 2009 GDP valuation: Market prices Base year: 1990 Chain-weighted: No Primary domestic currency: Thousands of Bolivianos Data last updated: 08/2012,15.473,1.805,10.375,5.075,16.778,14.145,5.443,2.306,6.006,6.823,8.512,10.796,9.455,9.256,10.716,10.238,11.726,12.646,12.814,10.652,11.012,11.23,12.294,13.128,15.857,18.809,26.561,28.56,29.003,22.878,24.987,26.064,25.573,24.641,2009
BOL,Bolivia,General government gross debt,Percent of GDP,,See notes for:  General government gross debt (National currency).,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,66.891,59.957,69.144,74.066,89.567,80.375,55.23,40.506,37.155,39.992,38.543,34.653,34.815,33.663,2009
